,level,strategy_and_architecture,change_and_transformation,development_and_implementation,delivery_and_operation,people_and_skills,relationships_and_engagement,level_name,rate_card_file,location_type
188,3,N/A,N/A,540,540,N/A,N/A,Apply,InfosysLimited_704759666807103-sfia-rate-card-2022-05-18-1023,onshore
189,4,720,720,630,630,630,720,Enable,InfosysLimited_704759666807103-sfia-rate-card-2022-05-18-1023,onshore
190,5,809,809,720,720,720,809,Ensure or advise,InfosysLimited_704759666807103-sfia-rate-card-2022-05-18-1023,onshore
191,6,828,828,792,792,792,828,Initiate or influence,InfosysLimited_704759666807103-sfia-rate-card-2022-05-18-1023,onshore
192,7,1000,1000,880,880,880,1050,Set strategy or inspire,InfosysLimited_704759666807103-sfia-rate-card-2022-05-18-1023,onshore
193,1,N/A,N/A,200,N/A,N/A,N/A,Follow,InfosysLimited_704759666807103-sfia-rate-card-2022-05-18-1023,offshore
194,2,N/A,N/A,230,N/A,N/A,N/A,Assist,InfosysLimited_704759666807103-sfia-rate-card-2022-05-18-1023,offshore
195,3,N/A,N/A,230,N/A,N/A,N/A,Apply,InfosysLimited_704759666807103-sfia-rate-card-2022-05-18-1023,offshore
196,4,289,289,289,289,289,289,Enable,InfosysLimited_704759666807103-sfia-rate-card-2022-05-18-1023,offshore
197,5,309,309,309,309,309,309,Ensure or advise,InfosysLimited_704759666807103-sfia-rate-card-2022-05-18-1023,offshore
198,6,343,343,343,343,343,343,Initiate or influence,InfosysLimited_704759666807103-sfia-rate-card-2022-05-18-1023,offshore
199,7,450,450,450,450,450,450,Set strategy or inspire,InfosysLimited_704759666807103-sfia-rate-card-2022-05-18-1023,offshore
200,1,457,457,457,457,457,457,Follow,InfosysLimited_743987123542774-sfia-rate-card-2022-05-18-0942,onshore
201,2,482,482,482,482,482,482,Assist,InfosysLimited_743987123542774-sfia-rate-card-2022-05-18-0942,onshore
202,3,507,507,507,507,507,507,Apply,InfosysLimited_743987123542774-sfia-rate-card-2022-05-18-0942,onshore
203,4,558,558,558,558,558,558,Enable,InfosysLimited_743987123542774-sfia-rate-card-2022-05-18-0942,onshore
204,5,863,863,660,660,660,660,Ensure or advise,InfosysLimited_743987123542774-sfia-rate-card-2022-05-18-0942,onshore
205,6,1035,1035,792,792,792,792,Initiate or influence,InfosysLimited_743987123542774-sfia-rate-card-2022-05-18-0942,onshore
206,7,1370,1370,914,914,914,914,Set strategy or inspire,InfosysLimited_743987123542774-sfia-rate-card-2022-05-18-0942,onshore
207,8,184,184,184,184,184,184,Follow,InfosysLimited_743987123542774-sfia-rate-card-2022-05-18-0942,offshore
208,9,205,205,205,205,205,205,Assist,InfosysLimited_743987123542774-sfia-rate-card-2022-05-18-0942,offshore
209,1,231,231,231,231,231,231,Apply,InfosysLimited_743987123542774-sfia-rate-card-2022-05-18-0942,offshore
210,1,500,500,500,500,500,500,Follow,InfosysLimited_768607668834647-sfia-rate-card-2022-05-17-1709,onshore
211,2,500,500,500,500,500,500,Assist,InfosysLimited_768607668834647-sfia-rate-card-2022-05-17-1709,onshore
212,3,500,500,500,500,500,500,Apply,InfosysLimited_768607668834647-sfia-rate-card-2022-05-17-1709,onshore
213,4,518,518,518,518,500,500,Enable,InfosysLimited_768607668834647-sfia-rate-card-2022-05-17-1709,onshore
214,5,548,548,548,525,518,518,Ensure or advise,InfosysLimited_768607668834647-sfia-rate-card-2022-05-17-1709,onshore
215,6,601,601,601,545,545,545,Initiate or influence,InfosysLimited_768607668834647-sfia-rate-card-2022-05-17-1709,onshore
216,7,601,601,833,601,601,601,Set strategy or inspire,InfosysLimited_768607668834647-sfia-rate-card-2022-05-17-1709,onshore
217,1,157,157,157,157,157,157,Follow,InfosysLimited_768607668834647-sfia-rate-card-2022-05-17-1709,offshore
218,2,157,157,157,157,157,157,Assist,InfosysLimited_768607668834647-sfia-rate-card-2022-05-17-1709,offshore
219,3,157,157,157,157,157,157,Apply,InfosysLimited_768607668834647-sfia-rate-card-2022-05-17-1709,offshore
220,4,186,186,186,186,157,157,Enable,InfosysLimited_768607668834647-sfia-rate-card-2022-05-17-1709,offshore
221,5,213,213,213,213,186,186,Ensure or advise,InfosysLimited_768607668834647-sfia-rate-card-2022-05-17-1709,offshore
222,6,324,324,324,265,265,265,Initiate or influence,InfosysLimited_768607668834647-sfia-rate-card-2022-05-17-1709,offshore
223,7,434,434,432,324,324,324,Set strategy or inspire,InfosysLimited_768607668834647-sfia-rate-card-2022-05-17-1709,offshore
