  ,level ,strategy_and_architecture ,change_and_transformation ,development_and_implementation ,delivery_and_operation ,people_and_skills ,relationships_and_engagement ,level_name              ,rate_card_id                                                                 ,business_change ,solution_development_and_implementation ,service_management ,procurement_and_management_support ,client_interface
4 ,    5 ,999                       ,832                       ,732                            ,666                    ,832               ,832                          ,Ensure or advise        ,InfosysLimited_146894943365045-sfia-rate-card-2022-05-18-1027                ,-               ,-                                       ,-                  ,-                                  ,-
5 ,    6 ,1179                      ,999                       ,832                            ,732                    ,999               ,999                          ,Initiate or influence   ,InfosysLimited_146894943365045-sfia-rate-card-2022-05-18-1027                ,-               ,-                                       ,-                  ,-                                  ,-
6 ,    7 ,1332                      ,1179                      ,999                            ,832                    ,1179              ,1179                         ,Set strategy or inspire ,InfosysLimited_146894943365045-sfia-rate-card-2022-05-18-1027                ,-               ,-                                       ,-                  ,-                                  ,-
0 ,    1 ,369                       ,369                       ,369                            ,369                    ,369               ,369                          ,Follow                  ,InfosysLimited_168937803265132-sfia-rate-card-2022-05-18-0752                ,-               ,-                                       ,-                  ,-                                  ,-
1 ,    2 ,369                       ,369                       ,369                            ,369                    ,369               ,369                          ,Assist                  ,InfosysLimited_168937803265132-sfia-rate-card-2022-05-18-0752                ,-               ,-                                       ,-                  ,-                                  ,-
2 ,    3 ,502                       ,502                       ,502                            ,502                    ,502               ,502                          ,Apply                   ,InfosysLimited_168937803265132-sfia-rate-card-2022-05-18-0752                ,-               ,-                                       ,-                  ,-                                  ,-
3 ,    4 ,508                       ,508                       ,507                            ,507                    ,507               ,508                          ,Enable                  ,InfosysLimited_168937803265132-sfia-rate-card-2022-05-18-0752                ,-               ,-                                       ,-                  ,-                                  ,-
4 ,    5 ,490                       ,490                       ,508                            ,508                    ,508               ,490                          ,Ensure or advise        ,InfosysLimited_168937803265132-sfia-rate-card-2022-05-18-0752                ,-               ,-                                       ,-                  ,-                                  ,-
5 ,    6 ,609                       ,609                       ,490                            ,490                    ,490               ,609                          ,Initiate or influence   ,InfosysLimited_168937803265132-sfia-rate-card-2022-05-18-0752                ,-               ,-                                       ,-                  ,-                                  ,-
6 ,    7 ,1167                      ,1167                      ,609                            ,609                    ,609               ,1167                         ,Set strategy or inspire ,InfosysLimited_168937803265132-sfia-rate-card-2022-05-18-0752                ,-               ,-                                       ,-                  ,-                                  ,-
0 ,    1 ,552                       ,552                       ,429                            ,472                    ,456               ,528                          ,Follow                  ,InfosysLimited_209489231285623-sfia-rate-card-2022-05-17-1922                ,-               ,-                                       ,-                  ,-                                  ,-
1 ,    2 ,552                       ,552                       ,445                            ,490                    ,456               ,528                          ,Assist                  ,InfosysLimited_209489231285623-sfia-rate-card-2022-05-17-1922                ,-               ,-                                       ,-                  ,-                                  ,-
2 ,    3 ,552                       ,552                       ,480                            ,528                    ,456               ,528                          ,Apply                   ,InfosysLimited_209489231285623-sfia-rate-card-2022-05-17-1922                ,-               ,-                                       ,-                  ,-                                  ,-
3 ,    4 ,604                       ,604                       ,525                            ,578                    ,499               ,578                          ,Enable                  ,InfosysLimited_209489231285623-sfia-rate-card-2022-05-17-1922                ,-               ,-                                       ,-                  ,-                                  ,-
4 ,    5 ,776                       ,776                       ,675                            ,743                    ,641               ,743                          ,Ensure or advise        ,InfosysLimited_209489231285623-sfia-rate-card-2022-05-17-1922                ,-               ,-                                       ,-                  ,-                                  ,-
5 ,    6 ,874                       ,874                       ,760                            ,836                    ,722               ,836                          ,Initiate or influence   ,InfosysLimited_209489231285623-sfia-rate-card-2022-05-17-1922                ,-               ,-                                       ,-                  ,-                                  ,-
6 ,    7 ,990                       ,990                       ,875                            ,950                    ,831               ,950                          ,Set strategy or inspire ,InfosysLimited_209489231285623-sfia-rate-card-2022-05-17-1922                ,-               ,-                                       ,-                  ,-                                  ,-
0 ,    1 ,207                       ,207                       ,145                            ,160                    ,180               ,198                          ,Follow                  ,InfosysLimited_209489231285623-sfia-rate-card-2022-05-17-1922                ,-               ,-                                       ,-                  ,-                                  ,-
1 ,    2 ,207                       ,207                       ,159                            ,175                    ,180               ,198                          ,Assist                  ,InfosysLimited_209489231285623-sfia-rate-card-2022-05-17-1922                ,-               ,-                                       ,-                  ,-                                  ,-
2 ,    3 ,207                       ,207                       ,180                            ,198                    ,180               ,198                          ,Apply                   ,InfosysLimited_209489231285623-sfia-rate-card-2022-05-17-1922                ,-               ,-                                       ,-                  ,-                                  ,-
3 ,    4 ,222                       ,222                       ,193                            ,212                    ,193               ,212                          ,Enable                  ,InfosysLimited_209489231285623-sfia-rate-card-2022-05-17-1922                ,-               ,-                                       ,-                  ,-                                  ,-
4 ,    5 ,278                       ,278                       ,242                            ,266                    ,242               ,266                          ,Ensure or advise        ,InfosysLimited_209489231285623-sfia-rate-card-2022-05-17-1922                ,-               ,-                                       ,-                  ,-                                  ,-
5 ,    6 ,301                       ,301                       ,262                            ,288                    ,262               ,288                          ,Initiate or influence   ,InfosysLimited_209489231285623-sfia-rate-card-2022-05-17-1922                ,-               ,-                                       ,-                  ,-                                  ,-
6 ,    7 ,343                       ,343                       ,298                            ,328                    ,298               ,328                          ,Set strategy or inspire ,InfosysLimited_209489231285623-sfia-rate-card-2022-05-17-1922                ,-               ,-                                       ,-                  ,-                                  ,-
0 ,    1 ,615                       ,576                       ,512                            ,614                    ,672               ,672                          ,Follow                  ,InfosysLimited_228043886463053-sfia-rate-card-2022-05-18-0801                ,-               ,-                                       ,-                  ,-                                  ,-
1 ,    2 ,615                       ,576                       ,512                            ,614                    ,672               ,672                          ,Assist                  ,InfosysLimited_228043886463053-sfia-rate-card-2022-05-18-0801                ,-               ,-                                       ,-                  ,-                                  ,-
2 ,    3 ,615                       ,576                       ,512                            ,614                    ,672               ,672                          ,Apply                   ,InfosysLimited_228043886463053-sfia-rate-card-2022-05-18-0801                ,-               ,-                                       ,-                  ,-                                  ,-
3 ,    4 ,615                       ,576                       ,512                            ,614                    ,672               ,672                          ,Enable                  ,InfosysLimited_228043886463053-sfia-rate-card-2022-05-18-0801                ,-               ,-                                       ,-                  ,-                                  ,-
4 ,    5 ,615                       ,608                       ,563                            ,614                    ,672               ,672                          ,Ensure or advise        ,InfosysLimited_228043886463053-sfia-rate-card-2022-05-18-0801                ,-               ,-                                       ,-                  ,-                                  ,-
5 ,    6 ,615                       ,672                       ,614                            ,614                    ,672               ,672                          ,Initiate or influence   ,InfosysLimited_228043886463053-sfia-rate-card-2022-05-18-0801                ,-               ,-                                       ,-                  ,-                                  ,-
